Accession #,Panel #,Title,Description,"PUBLICATION
Info as of April 15, 2025",page number
6,1,Embroidery Pattern,Cross Motif,,87
19,1,Stitch Tutorial,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",61;68
37,1,Embroidered Mat,,,90
38,1,Stitch Tutorial,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",61;69
70,1,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),86
75,1,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),124
88,1,Illustration of an Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),110
100,1,Birds & Flowers,Motif used to fill black space after a recipe,Traditional Ukrainian Cookery by Savella Stechishin,"45, 67, 162, 279, 317"
102,1,Bowl & Spoon,Motif used to fill black space after a recipe,Traditional Ukrainian Cookery, 
112,1,Ukrainian Needlework display,Saskatoon Embroidery Exhibit c.1942,Ukrainian Embroidery Designs and Stitches  (1957),11
114,1,Icon Rushnyk,Religious ritual towel to drape an icon,Ukrainian Embroidery Designs and Stitches  (1957),105
119,1,"""Dumka-Kolomyika""","Olenka Zaklynsky performing ""Dumka-Kolomyika"" a Ukrainian folk dance.","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",25
139,1,Sketch of a Woman,Graphic Illustration by Halyna Mazepa,"Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",189
257,1,Ukrainian Needlework Display,"Exhibit in Innsbruck, Austria","Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
",24
295,1,Dido and the Grasshopper,Illustrator unknown,Publlication Unknown,
305,1,Church Steeple With Bells,Illustrator unknown,Publlication Unknown,
311,1,Woman Holding a Plate of Nalysnyky,"Illustration by Wadym Dobrolige 
Placed on page facing recipe for Nalysnyky",Traditional Ukrainian Cookery by Savella Stechishin,186
324,1,Farmer & Two Oxen,"Historic Photograph. 
Farming on the Canadian Prairies",Publlication Unknown,
328,1,Діднх - Sheaf of Wheet,Ritual Sheaf of Wheat displayed as part of Ukrainian Christmas traditions,Publlication Unknown,
369,1,Men Posed on a Truck-Bed,Historic Photograph from an unidentified location on the Canadian Prairies,Publlication Unknown,
384,1,Trophy Winners,,Publlication Unknown,
401,1,"Дмитро Дуник
Dmytro Dunyk",,Publlication Unknown,
413,1,"Леся Пилат
Lesia Pilot",,Publlication Unknown,
415,1," Єлена Гарблюк
Jelena Harbliuk ",,Publlication Unknown,
431,1,"Марта Кадищук
 Martha Kadischuk",,Publlication Unknown,
476,1," Ольга Івасюк
Olga Ewasiuk",,Publlication Unknown,
481,1," Анна Зуриш
Ann Zurysh",,Publlication Unknown,
487,1," Єлена Пригар
Yelena Pryhar",,Publlication Unknown,
501,1,"Марія Думанська 
Maria Dumanska ",,Publlication Unknown,
534,1,"Пан і Пані Подольські
Mr. & Mrs. Podolski",Anniversary Photograph,Publlication Unknown,
553,1,William Kurelek,,Publlication Unknown,
564,1,Portrait of a Couple,"Unidentified People and Location
Posing in front of an iconostas",Publlication Unknown,
586,1,"Мартин Павло Клем
Martin Paul Klem",,Publlication Unknown,
597,1,"п-ні Анна Стечишин
Mrs. Anna Stechishin",,Publlication Unknown,
598,1,"Теодезій Кароль Тацюн
Theodore Karol Taniuk",Graduation Photo,Publlication Unknown,
605,1,"Олександра Кошман
 Alexandra Koshman",,Publlication Unknown,
712,1,"Галя Луцюк 
Halia Luciuk",,Publlication Unknown,
733,1,"Д-р Василь Титенич
Dr. William Tytenych",Graduation Photo,Publlication Unknown,
806,1,Portrait of a Woman,,Publlication Unknown,
834,not 1,"Борис Дродз
Boris Drodz",,Publlication Unknown,
851,1,"Галина Сокирка
Helen Sokyrkа",,Publlication Unknown,
874,1,"Анастасія Чумак
Anastasia Chumak",,Publlication Unknown,
889,1,"Маруся Галя Оробко
Mary Halia Orobko",,Publlication Unknown,
963,1,"Пан Коваль
Mr. Kowal ",,Publlication Unknown,
1044,1,"""Verchovyna"" "," ""Verkhovyna"" - Ukrainian folk dance in classical manner performed by  Roma Pryma Bohachevsky","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",37
